,periodCode,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries
87,20200106,AdWords,adwords_dsa,19.77,243,9,9,0,0
88,20200106,AdWords,adwords_pla,11932.36,213024,2629,2732,27,27
89,20200106,AdWords,adwords_rem,406.8,14839,192,215,1,1
90,20200106,AdWords,adwords_sea,42.31,513,25,34,1,1
91,20200106,FirmyCz,zbozi,80.54,704,4,2,0,0
92,20200106,HeurekaCz,heureka,0.0,0,0,21,2,2
93,20200106,Not tracked,notset,0.0,0,0,0,17,16
94,20200106,RtbHouse,rtbhouse,1255.79,53141,1067,780,2,2
95,20200106,Silverpop,emailing,1290.32,0,0,1766,22,22
96,20200106,Sklik,sklik_bra,83.9,212,141,162,4,3
97,20200106,Sklik,sklik_pla,272.9,3178,63,60,1,1
98,20200106,Sklik,sklik_rem,405.0,16457,127,119,1,1
99,20200106,Sklik,sklik_sea,152.60000000000002,474,56,58,2,2
100,20200106,ZboziCz,zbozi,270.91,2458,57,45,3,3
101,20200106,unpaid,direct,0.0,0,0,6539,14,13
102,20200106,unpaid,display,0.0,0,0,1,0,0
103,20200106,unpaid,facebook,0.0,0,0,12,0,0
104,20200106,unpaid,internal,0.0,0,0,153,0,0
105,20200106,unpaid,notset,0.0,0,0,33,1,0
106,20200106,unpaid,organic,0.0,0,0,752,10,8
107,20200106,unpaid,referral,0.0,0,0,249,5,3
108,20200107,AdWords,adwords_bra,232.31,471,260,294,10,10
109,20200107,AdWords,adwords_dsa,22.23,261,9,7,0,0
110,20200107,AdWords,adwords_pla,10677.21,194255,2401,2522,19,19
111,20200107,AdWords,adwords_rem,328.11,14578,201,226,1,1
112,20200107,AdWords,adwords_sea,54.18,532,28,41,0,0
113,20200107,FacebookBusinessAdsManager,facebook,48.32,678,51,0,0,0
114,20200107,FirmyCz,zbozi,80.54,705,4,5,0,0
115,20200107,HeurekaCz,heureka,0.0,0,0,22,2,2
116,20200107,Not tracked,notset,0.0,0,0,0,23,22
117,20200107,RtbHouse,rtbhouse,645.22,39461,819,614,2,2
118,20200107,Silverpop,emailing,1290.32,0,0,1387,18,18
119,20200107,Sklik,sklik_bra,99.7,169,129,147,5,5
120,20200107,Sklik,sklik_pla,254.8,2860,56,56,2,2
121,20200107,Sklik,sklik_rem,337.00000000000006,16831,105,115,1,1
122,20200107,Sklik,sklik_sea,141.18,599,51,51,1,0
123,20200107,ZboziCz,zbozi,455.52,2430,51,41,0,0
124,20200107,unpaid,direct,0.0,0,0,538,14,12
125,20200107,unpaid,facebook,0.0,0,0,18,0,0
126,20200107,unpaid,internal,0.0,0,0,160,0,0
127,20200107,unpaid,notset,0.0,0,0,33,2,2
128,20200107,unpaid,organic,0.0,0,0,748,12,12
129,20200107,unpaid,referral,0.0,0,0,333,1,1
130,20200108,AdWords,adwords_bra,135.33,469,259,296,15,15
131,20200108,AdWords,adwords_dsa,14.47,218,5,5,0,0
132,20200108,AdWords,adwords_pla,9670.99,183557,2311,2397,25,24
133,20200108,AdWords,adwords_rem,282.86,13564,165,186,0,0
134,20200108,AdWords,adwords_sea,54.69,636,25,32,1,1
135,20200108,Adform,adform_prospecting,0.0,0,0,1,0,0
136,20200108,FacebookBusinessAdsManager,facebook,59.52,1102,48,0,0,0
137,20200108,FirmyCz,zbozi,80.54,704,4,1,1,1
138,20200108,HeurekaCz,heureka,0.0,0,0,17,0,0
139,20200108,Not tracked,notset,0.0,0,0,0,25,25
140,20200108,RtbHouse,rtbhouse,4110.37,36406,764,575,10,10
141,20200108,Silverpop,emailing,1290.32,0,0,1182,29,28
142,20200108,Sklik,sklik_bra,89.2,190,143,156,6,6
143,20200108,Sklik,sklik_pla,231.4,2662,54,57,0,0
144,20200108,Sklik,sklik_rem,424.70000000000005,16616,130,128,1,1
145,20200108,Sklik,sklik_sea,175.10000000000002,588,60,60,2,2
146,20200108,ZboziCz,zbozi,514.96,2604,65,48,1,1
147,20200108,unpaid,direct,0.0,0,0,578,9,9
148,20200108,unpaid,facebook,0.0,0,0,77,0,0
149,20200108,unpaid,internal,0.0,0,0,114,0,0
150,20200108,unpaid,notset,0.0,0,0,18,1,1
151,20200108,unpaid,organic,0.0,0,0,700,7,7
152,20200108,unpaid,referral,0.0,0,0,216,4,4
153,20200109,AdWords,adwords_bra,146.3,455,248,275,14,14
154,20200109,AdWords,adwords_dsa,37.57,285,11,10,0,0
155,20200109,AdWords,adwords_pla,10051.06,180899,2377,2415,24,24
156,20200109,AdWords,adwords_rem,326.43,13405,194,234,2,2
157,20200109,AdWords,adwords_sea,62.30000000000001,595,26,30,0,0
158,20200109,FacebookBusinessAdsManager,facebook,162.02,1822,97,0,0,0
159,20200109,FirmyCz,zbozi,80.54,705,5,3,0,0
160,20200109,HeurekaCz,heureka,61.52,0,14,29,2,2
161,20200109,Not tracked,notset,0.0,0,0,0,15,13
162,20200109,RtbHouse,rtbhouse,1885.06,28713,592,467,8,6
163,20200109,Silverpop,emailing,1290.32,0,0,1558,12,12
164,20200109,Sklik,notset,0.0,0,0,1,0,0
165,20200109,Sklik,sklik_bra,95.5,210,147,154,5,5
166,20200109,Sklik,sklik_pla,228.9,2849,55,51,0,0
167,20200109,Sklik,sklik_rem,397.3,16258,125,138,2,2
168,20200109,Sklik,sklik_sea,120.12,783,56,56,0,0
169,20200109,ZboziCz,zbozi,686.6,2616,64,51,0,0
170,20200109,unpaid,direct,0.0,0,0,564,8,8
171,20200109,unpaid,display,0.0,0,0,1,0,0
172,20200109,unpaid,facebook,0.0,0,0,26,0,0
173,20200109,unpaid,internal,0.0,0,0,159,0,0
174,20200109,unpaid,notset,0.0,0,0,30,1,1
175,20200109,unpaid,organic,0.0,0,0,786,14,14
176,20200109,unpaid,push,0.0,0,0,1,0,0
177,20200109,unpaid,referral,0.0,0,0,235,3,3
178,20200110,AdWords,adwords_bra,167.62,475,271,326,10,8
179,20200110,AdWords,adwords_dsa,771.53,1457,66,63,0,0
180,20200110,AdWords,adwords_pla,9643.55,178749,2327,2430,25,25
181,20200110,AdWords,adwords_rem,330.28,14553,200,250,1,1
182,20200110,AdWords,adwords_sea,49.010000000000005,516,24,31,0,0
183,20200110,FacebookBusinessAdsManager,facebook,130.14,1316,97,0,0,0
184,20200110,FirmyCz,zbozi,80.54,704,4,1,0,0
185,20200110,HeurekaCz,heureka,222.34,0,41,54,1,1
186,20200110,Not tracked,notset,0.0,0,0,0,18,17
187,20200110,RtbHouse,rtbhouse,1311.11,21780,504,390,4,4
188,20200110,Silverpop,emailing,1290.32,0,0,1381,25,24
189,20200110,Sklik,sklik_bra,84.8,193,133,147,7,6
190,20200110,Sklik,sklik_pla,197.4,3019,44,49,0,0
191,20200110,Sklik,sklik_rem,384.5,15907,118,124,2,2
192,20200110,Sklik,sklik_sea,112.28,550,56,56,0,0
193,20200110,ZboziCz,zbozi,353.3,2485,48,40,0,0
194,20200110,unpaid,direct,0.0,0,0,548,8,8
195,20200110,unpaid,facebook,0.0,0,0,29,1,1
196,20200110,unpaid,internal,0.0,0,0,144,0,0
197,20200110,unpaid,notset,0.0,0,0,35,0,0
198,20200110,unpaid,organic,0.0,0,0,654,10,10
199,20200110,unpaid,referral,0.0,0,0,270,2,2
200,20200111,AdWords,adwords_bra,85.1,344,177,202,4,4
201,20200111,AdWords,adwords_dsa,339.72,1152,50,46,0,0
202,20200111,AdWords,adwords_pla,6050.13,130332,1760,1835,15,15
203,20200111,AdWords,adwords_rem,283.97,13414,175,199,0,0
204,20200111,AdWords,adwords_sea,38.120000000000005,369,25,26,0,0
205,20200111,FirmyCz,zbozi,80.54,704,4,2,0,0
206,20200111,HeurekaCz,heureka,158.95,0,32,49,1,1
207,20200111,Not tracked,notset,0.0,0,0,0,3,3
208,20200111,RtbHouse,rtbhouse,722.5,18850,403,357,3,3
209,20200111,Silverpop,emailing,1290.32,0,0,1013,12,12
210,20200111,Sklik,sklik_bra,60.8,133,89,95,3,3
211,20200111,Sklik,sklik_pla,184.7,1875,42,43,1,1
212,20200111,Sklik,sklik_rem,347.20000000000005,13918,112,125,0,0
213,20200111,Sklik,sklik_sea,55.38,363,35,37,0,0
214,20200111,ZboziCz,zbozi,376.51,2215,59,48,0,0
215,20200111,unpaid,direct,0.0,0,0,491,4,4
216,20200111,unpaid,facebook,0.0,0,0,85,0,0
217,20200111,unpaid,internal,0.0,0,0,126,0,0
218,20200111,unpaid,notset,0.0,0,0,14,0,0
219,20200111,unpaid,organic,0.0,0,0,571,2,2
220,20200111,unpaid,push,0.0,0,0,1,0,0
221,20200111,unpaid,referral,0.0,0,0,298,1,1
222,20200112,AdWords,adwords_bra,125.66,413,245,281,5,5
223,20200112,AdWords,adwords_dsa,491.57,1176,65,63,0,0
224,20200112,AdWords,adwords_pla,9221.71,171284,2366,2427,23,23
225,20200112,AdWords,adwords_rem,351.95,14662,211,229,1,1
226,20200112,AdWords,adwords_sea,49.970000000000006,499,24,39,0,0
227,20200112,FirmyCz,zbozi,80.54,705,4,3,0,0
228,20200112,HeurekaCz,heureka,160.42000000000002,0,28,45,1,1
229,20200112,Not tracked,notset,0.0,0,0,0,6,5
230,20200112,RtbHouse,rtbhouse,1262.05,22468,492,386,4,3
231,20200112,Silverpop,emailing,1290.32,0,0,466,14,14
232,20200112,Sklik,sklik_bra,71.1,176,118,121,5,5
233,20200112,Sklik,sklik_pla,236.9,4484,56,61,1,1
234,20200112,Sklik,sklik_rem,392.29999999999995,14351,119,123,0,0
235,20200112,Sklik,sklik_sea,130.01999999999998,528,70,74,1,1
236,20200112,ZboziCz,zbozi,510.84,2950,66,45,1,1
237,20200112,unpaid,direct,0.0,0,0,518,13,12
238,20200112,unpaid,facebook,0.0,0,0,31,0,0
239,20200112,unpaid,internal,0.0,0,0,113,0,0
240,20200112,unpaid,notset,0.0,0,0,23,0,0
241,20200112,unpaid,organic,0.0,0,0,698,8,8
242,20200112,unpaid,referral,0.0,0,0,279,3,2
243,20200113,AdWords,adwords_bra,185.56,554,291,362,18,17
244,20200113,AdWords,adwords_dsa,448.31,1186,54,49,0,0
245,20200113,AdWords,adwords_pla,11091.91,204461,2581,2638,25,25
246,20200113,AdWords,adwords_rem,318.64,17408,179,198,2,2
247,20200113,AdWords,adwords_sea,76.05,665,35,38,0,0
248,20200113,Adform,adform_prospecting,0.0,0,0,1,0,0
249,20200113,FirmyCz,zbozi,80.54,759,4,4,0,0
250,20200113,HeurekaCz,heureka,115.17,0,27,60,2,2
251,20200113,Not tracked,notset,0.0,0,0,0,24,24
252,20200113,RtbHouse,rtbhouse,1685.42,24267,434,378,6,6
253,20200113,Silverpop,emailing,1290.32,0,0,1442,23,23
254,20200113,Sklik,sklik_bra,101.3,211,143,157,5,5
255,20200113,Sklik,sklik_pla,237.0,3513,56,56,1,1
256,20200113,Sklik,sklik_rem,398.2,17061,120,115,4,4
257,20200113,Sklik,sklik_sea,127.24000000000001,714,51,56,0,0
258,20200113,ZboziCz,zbozi,635.59,2850,59,48,2,2
259,20200113,unpaid,direct,0.0,0,0,607,9,8
260,20200113,unpaid,facebook,0.0,0,0,18,0,0
261,20200113,unpaid,internal,0.0,0,0,150,0,0
262,20200113,unpaid,notset,0.0,0,0,31,2,2
263,20200113,unpaid,organic,0.0,0,0,827,11,11
264,20200113,unpaid,referral,0.0,0,0,242,0,0
265,20200114,AdWords,adwords_bra,191.89,503,261,307,12,11
266,20200114,AdWords,adwords_dsa,492.24,1671,71,67,0,0
267,20200114,AdWords,adwords_pla,9395.36,189266,2232,2363,17,16
268,20200114,AdWords,adwords_rem,354.84,14429,189,227,1,1
269,20200114,AdWords,adwords_sea,92.21000000000001,634,47,57,0,0
270,20200114,FirmyCz,zbozi,80.54,758,4,1,0,0
271,20200114,HeurekaCz,heureka,163.82999999999998,0,35,56,2,2
272,20200114,Not tracked,notset,0.0,0,0,0,18,16
273,20200114,RtbHouse,rtbhouse,1373.16,24651,447,321,5,4
274,20200114,Silverpop,emailing,1290.32,0,0,2690,51,37
275,20200114,Sklik,sklik_bra,81.0,211,143,152,5,4
