,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
58,2020-01-04,unpaid,direct,0.0,0.0,0.0,459.0,1.0,1.0,
59,2020-01-04,unpaid,facebook,0.0,0.0,0.0,21.0,0.0,0.0,
60,2020-01-04,unpaid,internal,0.0,0.0,0.0,100.0,0.0,0.0,
61,2020-01-04,unpaid,notset,0.0,0.0,0.0,5.0,0.0,0.0,
62,2020-01-04,unpaid,organic,0.0,0.0,0.0,698.0,6.0,6.0,
63,2020-01-04,unpaid,push,0.0,0.0,0.0,1.0,0.0,0.0,
64,2020-01-04,unpaid,referral,0.0,0.0,0.0,296.0,1.0,1.0,
65,2020-01-05,AdWords,adwords_bra,101.08,396.0,234.0,272.0,9.0,8.0,29600.0
66,2020-01-05,AdWords,adwords_dsa,29.04,316.0,12.0,10.0,0.0,0.0,
67,2020-01-05,AdWords,adwords_pla,12527.45,206494.0,2909.0,2984.0,21.0,21.0,34205.0
68,2020-01-05,AdWords,adwords_rem,377.44,16279.0,225.0,261.0,1.0,1.0,904.0
69,2020-01-05,AdWords,adwords_sea,51.84,606.0,31.0,39.0,0.0,0.0,
70,2020-01-05,FirmyCz,zbozi,80.54,600.0,3.0,2.0,0.0,0.0,
71,2020-01-05,HeurekaCz,heureka,0.0,0.0,0.0,18.0,0.0,0.0,
72,2020-01-05,Not tracked,notset,0.0,0.0,0.0,0.0,10.0,10.0,
73,2020-01-05,RtbHouse,rtbhouse,1473.47,63749.0,1853.0,1179.0,7.0,6.0,14933.0
74,2020-01-05,Silverpop,emailing,1290.32,0.0,0.0,471.0,22.0,22.0,53834.0
75,2020-01-05,Sklik,sklik_bra,103.3,190.0,141.0,167.0,4.0,4.0,39356.0
76,2020-01-05,Sklik,sklik_pla,190.4,2208.0,46.0,53.0,1.0,1.0,1452.0
77,2020-01-05,Sklik,sklik_rem,423.4,16045.0,135.0,133.0,1.0,1.0,1327.0
78,2020-01-05,Sklik,sklik_sea,164.28,493.0,63.0,63.0,0.0,0.0,
79,2020-01-05,ZboziCz,zbozi,611.68,2792.0,69.0,52.0,3.0,3.0,2022.0
80,2020-01-05,unpaid,direct,0.0,0.0,0.0,537.0,3.0,3.0,
81,2020-01-05,unpaid,facebook,0.0,0.0,0.0,19.0,0.0,0.0,
82,2020-01-05,unpaid,internal,0.0,0.0,0.0,104.0,0.0,0.0,
83,2020-01-05,unpaid,notset,0.0,0.0,0.0,15.0,0.0,0.0,
84,2020-01-05,unpaid,organic,0.0,0.0,0.0,676.0,8.0,8.0,
85,2020-01-05,unpaid,referral,0.0,0.0,0.0,309.0,2.0,1.0,
86,2020-01-06,AdWords,adwords_bra,183.68,501.0,276.0,317.0,19.0,18.0,88664.0
87,2020-01-06,AdWords,adwords_dsa,19.77,243.0,9.0,9.0,0.0,0.0,
88,2020-01-06,AdWords,adwords_pla,11932.36,213024.0,2629.0,2732.0,27.0,27.0,58056.0
89,2020-01-06,AdWords,adwords_rem,406.8,14839.0,192.0,215.0,1.0,1.0,1401.0
90,2020-01-06,AdWords,adwords_sea,42.31,513.0,25.0,34.0,1.0,1.0,92.0
91,2020-01-06,FirmyCz,zbozi,80.54,704.0,4.0,2.0,0.0,0.0,
92,2020-01-06,HeurekaCz,heureka,0.0,0.0,0.0,21.0,2.0,2.0,9715.0
93,2020-01-06,Not tracked,notset,0.0,0.0,0.0,0.0,17.0,16.0,
94,2020-01-06,RtbHouse,rtbhouse,1255.79,53141.0,1067.0,780.0,2.0,2.0,9649.0
95,2020-01-06,Silverpop,emailing,1290.32,0.0,0.0,1766.0,22.0,22.0,51416.0
96,2020-01-06,Sklik,sklik_bra,83.9,212.0,141.0,162.0,4.0,3.0,23436.0
97,2020-01-06,Sklik,sklik_pla,272.9,3178.0,63.0,60.0,1.0,1.0,1033.0
98,2020-01-06,Sklik,sklik_rem,405.0,16457.0,127.0,119.0,1.0,1.0,5329.0
99,2020-01-06,Sklik,sklik_sea,152.60000000000002,474.0,56.0,58.0,2.0,2.0,11526.0
100,2020-01-06,ZboziCz,zbozi,270.91,2458.0,57.0,45.0,3.0,3.0,3557.0
101,2020-01-06,unpaid,direct,0.0,0.0,0.0,6539.0,14.0,13.0,
102,2020-01-06,unpaid,display,0.0,0.0,0.0,1.0,0.0,0.0,
103,2020-01-06,unpaid,facebook,0.0,0.0,0.0,12.0,0.0,0.0,
104,2020-01-06,unpaid,internal,0.0,0.0,0.0,153.0,0.0,0.0,
105,2020-01-06,unpaid,notset,0.0,0.0,0.0,33.0,1.0,0.0,
106,2020-01-06,unpaid,organic,0.0,0.0,0.0,752.0,10.0,8.0,
107,2020-01-06,unpaid,referral,0.0,0.0,0.0,249.0,5.0,3.0,
108,2020-01-07,AdWords,adwords_bra,232.31,471.0,260.0,294.0,10.0,10.0,50581.0
109,2020-01-07,AdWords,adwords_dsa,22.23,261.0,9.0,7.0,0.0,0.0,
110,2020-01-07,AdWords,adwords_pla,10677.21,194255.0,2401.0,2522.0,19.0,19.0,36622.0
111,2020-01-07,AdWords,adwords_rem,328.11,14578.0,201.0,226.0,1.0,1.0,1747.0
112,2020-01-07,AdWords,adwords_sea,54.18,532.0,28.0,41.0,0.0,0.0,
113,2020-01-07,FacebookBusinessAdsManager,facebook,48.32,678.0,51.0,0.0,0.0,0.0,
114,2020-01-07,FirmyCz,zbozi,80.54,705.0,4.0,5.0,0.0,0.0,
115,2020-01-07,HeurekaCz,heureka,0.0,0.0,0.0,22.0,2.0,2.0,19723.0
116,2020-01-07,Not tracked,notset,0.0,0.0,0.0,0.0,23.0,22.0,
117,2020-01-07,RtbHouse,rtbhouse,645.22,39461.0,819.0,614.0,2.0,2.0,3898.0
118,2020-01-07,Silverpop,emailing,1290.32,0.0,0.0,1387.0,18.0,18.0,50623.0
119,2020-01-07,Sklik,sklik_bra,99.7,169.0,129.0,147.0,5.0,5.0,11671.0
120,2020-01-07,Sklik,sklik_pla,254.8,2860.0,56.0,56.0,2.0,2.0,614.0
121,2020-01-07,Sklik,sklik_rem,337.00000000000006,16831.0,105.0,115.0,1.0,1.0,3153.0
